timestamp,demand_kw,Biomass,Energy storage,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Wind Offshore,Wind Onshore
2026-01-01 00:00:00+00:00,23392.0,408.0,0.0,0.0,1136.0,1000.0,1816.0,64.0,36.0,0.0,2416.0
2026-01-01 00:15:00+00:00,23120.0,408.0,0.0,0.0,1044.0,996.0,1632.0,68.0,36.0,0.0,2544.0
2026-01-01 00:30:00+00:00,22772.0,412.0,0.0,0.0,908.0,984.0,1544.0,64.0,36.0,0.0,2732.0
2026-01-01 00:45:00+00:00,22456.0,408.0,0.0,0.0,760.0,988.0,1408.0,68.0,36.0,0.0,2944.0
2026-01-01 01:00:00+00:00,22120.0,408.0,0.0,0.0,316.0,980.0,1356.0,64.0,36.0,0.0,3120.0
2026-01-01 01:15:00+00:00,21768.0,412.0,0.0,0.0,252.0,964.0,1352.0,68.0,36.0,0.0,3232.0
2026-01-01 01:30:00+00:00,21424.0,408.0,0.0,0.0,240.0,964.0,1324.0,64.0,36.0,0.0,3236.0
2026-01-01 01:45:00+00:00,21088.0,404.0,0.0,0.0,136.0,952.0,1356.0,68.0,36.0,0.0,3304.0
2026-01-01 02:00:00+00:00,20816.0,392.0,0.0,0.0,80.0,960.0,1480.0,64.0,36.0,0.0,3256.0
2026-01-01 02:15:00+00:00,20516.0,392.0,0.0,0.0,72.0,956.0,1476.0,64.0,36.0,0.0,3272.0
2026-01-01 02:30:00+00:00,20264.0,392.0,0.0,0.0,72.0,956.0,1456.0,64.0,36.0,0.0,3316.0
2026-01-01 02:45:00+00:00,20020.0,396.0,0.0,0.0,72.0,952.0,1452.0,64.0,36.0,0.0,3432.0
2026-01-01 03:00:00+00:00,19824.0,400.0,0.0,0.0,72.0,964.0,1496.0,64.0,36.0,0.0,3564.0
2026-01-01 03:15:00+00:00,19612.0,396.0,0.0,0.0,72.0,948.0,1436.0,64.0,36.0,0.0,3700.0
2026-01-01 03:30:00+00:00,19436.0,400.0,0.0,0.0,72.0,948.0,1420.0,64.0,36.0,0.0,3756.0
2026-01-01 03:45:00+00:00,19328.0,400.0,0.0,0.0,72.0,952.0,1428.0,64.0,36.0,0.0,3796.0
2026-01-01 04:00:00+00:00,19296.0,404.0,0.0,0.0,72.0,948.0,1404.0,64.0,36.0,0.0,3884.0
2026-01-01 04:15:00+00:00,19232.0,400.0,0.0,0.0,72.0,948.0,1404.0,64.0,36.0,0.0,3964.0
2026-01-01 04:30:00+00:00,19188.0,408.0,0.0,0.0,72.0,944.0,1372.0,64.0,36.0,0.0,4032.0
2026-01-01 04:45:00+00:00,19184.0,408.0,0.0,0.0,72.0,940.0,1344.0,64.0,36.0,0.0,4076.0
