timestamp,demand_kw,Biomass,Energy storage,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Wind Offshore,Wind Onshore
2026-01-01 00:00:00+00:00,12707.95,294.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4494.138,2026.042
2026-01-01 00:15:00+00:00,12712.187,287.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4497.956,2088.236
2026-01-01 00:30:00+00:00,12680.867,287.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4524.89,2133.982
2026-01-01 00:45:00+00:00,12647.245,288.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4527.621,2162.348
2026-01-01 01:00:00+00:00,12604.852,290.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4527.769,2162.936
2026-01-01 01:15:00+00:00,12512.271,298.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4524.637,2192.429
2026-01-01 01:30:00+00:00,12397.84,302.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4525.248,2191.216
2026-01-01 01:45:00+00:00,12336.497,303.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4515.743,2184.618
2026-01-01 02:00:00+00:00,12321.049,301.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4522.774,2221.489
2026-01-01 02:15:00+00:00,12240.503,296.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4524.445,2224.446
2026-01-01 02:30:00+00:00,12177.085,295.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4525.535,2232.736
2026-01-01 02:45:00+00:00,12122.733,296.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4499.157,2240.164
2026-01-01 03:00:00+00:00,12269.839,297.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4395.856,2256.696
2026-01-01 03:15:00+00:00,12218.856,299.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4424.692,2237.434
2026-01-01 03:30:00+00:00,12160.453,301.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4404.283,2269.58
2026-01-01 03:45:00+00:00,12099.972,297.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4380.848,2287.427
2026-01-01 04:00:00+00:00,12122.3,298.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4394.264,2356.437
2026-01-01 04:15:00+00:00,12104.656,297.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400.301,2324.629
2026-01-01 04:30:00+00:00,12137.734,298.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4415.684,2378.624
2026-01-01 04:45:00+00:00,12217.005,299.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4408.347,2365.801
2026-01-01 05:00:00+00:00,12340.1,307.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4437.496,2347.251
2026-01-01 05:15:00+00:00,12376.895,308.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4491.393,2361.14
2026-01-01 05:30:00+00:00,12430.301,310.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4460.384,2370.862
2026-01-01 05:45:00+00:00,12469.245,318.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4527.12,2391.112
2026-01-01 06:00:00+00:00,12610.656,318.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4533.239,2434.539
2026-01-01 06:15:00+00:00,12642.031,326.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4525.916,2441.809
2026-01-01 06:30:00+00:00,12704.085,326.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4517.091,2445.401
2026-01-01 06:45:00+00:00,12836.593,327.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4497.11,2427.692
2026-01-01 07:00:00+00:00,13102.785,335.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4443.322,2400.764
2026-01-01 07:15:00+00:00,13192.436,336.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4397.023,2396.397
2026-01-01 07:30:00+00:00,13350.542,334.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4394.416,2398.698
