timestamp,demand_kw,Biomass,Energy storage,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Wind Offshore,Wind Onshore
2026-01-01 00:00:00+00:00,15274.341,377.928,0.0,0.0,0.0,104.203,73.682,72.18,0.0,0.0,1652.493
2026-01-01 00:15:00+00:00,15066.497,377.412,0.0,0.0,0.0,104.002,73.682,72.427,0.0,0.0,1753.057
2026-01-01 00:30:00+00:00,14921.621,376.905,0.0,0.0,0.0,104.602,73.682,72.715,0.0,0.0,1810.024
2026-01-01 00:45:00+00:00,14701.92,376.653,0.0,0.0,0.0,103.603,73.662,72.054,0.0,0.0,1911.943
2026-01-01 01:00:00+00:00,14632.776,374.869,0.0,0.0,0.0,101.295,71.474,71.842,0.0,0.0,1995.024
2026-01-01 01:15:00+00:00,14487.928,377.31,0.0,0.0,0.0,100.597,71.474,71.911,0.0,0.0,2107.709
2026-01-01 01:30:00+00:00,14363.068,376.208,0.0,0.0,0.0,101.395,71.314,72.53,0.0,0.0,2269.314
2026-01-01 01:45:00+00:00,14246.604,374.979,0.0,0.0,0.0,101.096,71.494,71.86,0.0,0.0,2411.427
2026-01-01 02:00:00+00:00,14255.73,372.527,0.0,0.0,0.0,101.363,29.191,71.0,0.0,0.0,1668.039
2026-01-01 02:15:00+00:00,14124.863,369.127,0.0,0.0,0.0,99.484,28.549,70.623,0.0,0.0,1739.526
2026-01-01 02:30:00+00:00,13969.723,370.245,0.0,0.0,0.0,100.864,29.191,71.265,0.0,0.0,1772.539
2026-01-01 02:45:00+00:00,13846.312,371.966,0.0,0.0,0.0,100.764,29.191,71.146,0.0,0.0,1927.349
2026-01-01 03:00:00+00:00,13974.802,371.608,0.0,0.0,0.0,100.773,29.194,70.966,0.0,0.0,2538.764
2026-01-01 03:15:00+00:00,13951.348,370.976,0.0,0.0,0.0,100.272,29.194,71.904,0.0,0.0,2767.617
2026-01-01 03:30:00+00:00,13950.642,372.106,0.0,0.0,0.0,101.373,29.194,71.221,0.0,0.0,2927.442
2026-01-01 03:45:00+00:00,13787.505,368.81,0.0,0.0,0.0,100.773,29.194,70.269,0.0,0.0,3106.808
2026-01-01 04:00:00+00:00,13845.046,370.515,0.0,0.0,0.0,101.172,29.175,69.421,0.0,0.0,3642.464
